tk,sector,art_center,year,q_raw,q_eff,q_bwd,n,n_high,q_raw_sn,q_eff_sn,q_bwd_sn,q_combined,fwd_ret
SCL,hardware,1,2011,0.3961980010454471,0.125,1.3082573316535695,16,2,0.20114780475014649,0.3220419158621167,0.20722759283626366,0.24347243781617564,0.4032133828803872
SCL,hardware,1,2012,0.39238522946834564,0.08,1.2839234690447254,25,2,0.21468557993557633,-0.1531416349001089,0.22180196339857347,0.0944486361446803,0.19482231596973731
SCL,hardware,1,2013,0.3773297654198749,0.0,1.2111950372871516,26,0,0.17693278309659147,-0.655122378137722,0.1960087833545594,-0.09406027056219039,-0.3808521661207823
SCL,hardware,1,2014,0.29969920874652217,0.04,0.8666477703213932,25,1,-0.5210839049196615,-0.46930981293394997,-0.36192673291279515,-0.4507734835888022,0.25955866013140416
SCL,hardware,1,2015,0.31641963226337955,0.03571428571428571,0.9846246829455393,28,1,-0.43919475566455524,-0.5231970523252913,-0.17568783491593246,-0.379359880968593,0.6599340963967504
SCL,hardware,1,2016,0.3072825332036179,0.02857142857142857,0.9438394915564983,35,1,-0.5267213382212135,-0.6146456376805185,-0.2224329070142764,-0.4545999609720028,-0.020594677435544884
SCL,hardware,1,2017,0.33258905321359633,0.0,1.0844581690461943,41,0,-0.30619089173168484,-0.7320264148138801,-0.01959844247502649,-0.3526052496735304,-0.05210305038763208
SCL,hardware,1,2018,0.31905856010104927,0.0,0.9756899866727914,32,0,-0.40927300970153313,-0.7214732295674279,-0.16212840972901021,-0.4309582163326571,0.39959205343728654
QGEN,hardware,1,2002,0.2395066347989169,0.09090909090909091,0.43012892419817705,11,1,-0.7848297684214952,0.14425132301675148,-0.917472378977215,-0.5193502747939863,1.3170151153575644
QGEN,hardware,1,2003,0.23666199346383412,0.07142857142857142,0.4200941862609197,14,1,-0.8645945610645945,-0.08806186993984794,-0.95989294379118,-0.6375164582652074,-0.08444804596866207
