company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
OMRON CORPORATION,Technology,6,1696,0.37774786,-0.7700527,19,omron
"BECTON, DICKINSON AND COMPANY",Life Sciences,0,1696,0.5655748,0.70442104,19,becton dickinson
Advantest Corporation,Technology,6,1687,0.38663983,-0.72657895,19,advantest
"ASAHI GLASS CO., LTD.",Life Sciences,2,1686,0.23876426,-0.7791579,19,asahi glass
Wistron Corporation,Technology,6,1681,0.35564417,-0.8890625,16,wistron
"NINTENDO CO., LTD.",Life Sciences,0,1646,0.60117567,0.93973684,19,nintendo
Chevron U.S.A. Inc.,Life Sciences,2,1645,0.3825006,-0.11773684,19,chevron u s a
U.S. Philips Corporation,Technology,7,1641,0.35340643,-0.9236,10,u s philips
EBAY INC.,Technology,6,1631,0.7288277,1.0503334,18,ebay
"PACESETTER, INC.",Life Sciences,0,1630,0.59993464,0.8845789,19,pacesetter
NTN CORPORATION,Industrial,5,1626,0.28771362,-0.5003684,19,ntn
FUJITSU SEMICONDUCTOR LIMITED,Technology,7,1624,0.4101745,-0.6223333,9,fujitsu semiconductor
Abbott Laboratories,Life Sciences,2,1623,0.4302608,0.059578944,19,abbott laboratories
Lear Corporation,Industrial,1,1614,0.45815584,0.5371579,19,lear
"Visteon Global Technologies, Inc.",Industrial,5,1607,0.41848508,0.3162105,19,visteon global
Oki Data Corporation,Technology,6,1606,0.3468194,-0.93289477,19,oki data
Council of Scientific and Industrial Research,Life Sciences,2,1593,0.16724175,-1.1108948,19,council of scientific industrial research
JTEKT CORPORATION,Industrial,1,1591,0.25963542,-0.72776926,13,jtekt
"Symbol Technologies, LLC",Technology,6,1589,0.55295646,0.1448421,19,symbol
TSINGHUA UNIVERSITY,Technology,7,1589,0.27591026,-1.326,19,tsinghua university
THE REGENTS OF THE UNIVERSITY OF MICHIGAN,Life Sciences,2,1582,0.4499572,0.19115789,19,regents of university of michigan
SNECMA,Industrial,5,1580,0.21650507,-0.98115385,13,snecma
Merck Sharp & Dohme LLC,Life Sciences,2,1565,0.24490158,-0.8076316,19,merck sharp dohme
"NGK SPARK PLUG CO., LTD.",Technology,7,1563,0.28073022,-1.2767895,19,ngk spark plug
